Name Place,Rating,Reviews,City,Country,State,Weighted_Score,Weighted_Average,Rank_in_City
Narayanagiri Gardens,4.4,5507,Tirupati,India,Andhra Pradesh,24230.8,4.4,10
Tirumala Chakratheertham,4.5,4005,Tirupati,India,Andhra Pradesh,18022.5,4.7,11
Sri Babu Jagjivanram park,4.3,4076,Tirupati,India,Andhra Pradesh,17526.8,4.4,12
Lepakshi Circle,4.6,3687,Tirupati,India,Andhra Pradesh,16960.2,4.34,13
Papavinasam Theertham,4.5,3702,Tirupati,India,Andhra Pradesh,16659,4.7,14
Divyaramam Park,4.4,3726,Tirupati,India,Andhra Pradesh,16394.4,4.4,15
"Sri Anjaneyaswami Mandir, Tirumala Tirupati",4.8,2333,Tirupati,India,Andhra Pradesh,11198.4,4.7,16
Sri Padmavathi Park,4.2,2517,Tirupati,India,Andhra Pradesh,10571.4,4.4,17
Sri Venugopala Swamy Temple,4.5,1542,Tirupati,India,Andhra Pradesh,6939,4.7,18
Hanuman Temple,4.7,1214,Tirupati,India,Andhra Pradesh,5705.8,4.7,19
Geetopadesam Park,4.5,1035,Tirupati,India,Andhra Pradesh,4657.5,4.4,20
Govindaraja Swamy Temple Museum,4.6,840,Tirupati,India,Andhra Pradesh,3864,4.34,21
Swami Pushkarini,4.7,710,Tirupati,India,Andhra Pradesh,3337,4.7,22
Archaeological Museum,4.3,737,Tirupati,India,Andhra Pradesh,3169.1,4.34,23
Jungle Book & Park,4.1,713,Tirupati,India,Andhra Pradesh,2923.3,4.4,24
Gogarbham Dam Park,4.3,542,Tirupati,India,Andhra Pradesh,2330.6,4.4,25
Sri Bedi Anjaneya Swamy Temple,4.7,386,Tirupati,India,Andhra Pradesh,1814.2,4.7,26
Sri Venkateshwara Temple,4.5,167,Tirupati,India,Andhra Pradesh,751.5,4.7,27
Tirumala View Point,4.8,148,Tirupati,India,Andhra Pradesh,710.4,4.4,28
Chakra Teertham,4.5,153,Tirupati,India,Andhra Pradesh,688.5,4.4,29
Sri Siva Nagendra Swami Temple,4.3,138,Tirupati,India,Andhra Pradesh,593.4,4.7,30
Rock Garden.,4.5,130,Tirupati,India,Andhra Pradesh,585,4.4,31
GMR Eco Park,4.6,124,Tirupati,India,Andhra Pradesh,570.4,4.4,32
Sri Venkateswara Dhyana Jnana Mandiram,4.5,123,Tirupati,India,Andhra Pradesh,553.5,4.34,33
Kumaradhara Theertham,4.6,99,Tirupati,India,Andhra Pradesh,455.4,4.7,34
View Point of Jungle Book,4.2,71,Tirupati,India,Andhra Pradesh,298.2,4.4,35
P3,4.3,65,Tirupati,India,Andhra Pradesh,279.5,4.4,36
Seshachala Vanadarshini Forest Museum,4.3,52,Tirupati,India,Andhra Pradesh,223.6,4.34,37
City Palace,4.5,89396,Udaipur,India,Rajasthan,402282,4.51,1
Wax Museum Udaipur,4.7,32481,Udaipur,India,Rajasthan,152660.7,4.51,2
Sajjangarh Monsoon Palace,4.4,27697,Udaipur,India,Rajasthan,121866.8,4.51,3
Jagdish Temple,4.7,14337,Udaipur,India,Rajasthan,67383.9,4.67,4
Saheliyon ki bari,4.4,14146,Udaipur,India,Rajasthan,62242.4,4.38,5
Gangour Ghat,4.5,10657,Udaipur,India,Rajasthan,47956.5,4.51,6
Jagmandir,4.4,8076,Udaipur,India,Rajasthan,35534.4,4.51,7
"Karni Mata Temple, Udaipur",4.6,5803,Udaipur,India,Rajasthan,26693.8,4.67,8
Sukhadia Circle Statue,4.4,5926,Udaipur,India,Rajasthan,26074.4,4.38,9
Navlakha Mahal (Satyarth Prakash Nyas),4.9,3872,Udaipur,India,Rajasthan,18972.8,4.51,10
Rajiv Gandhi Garden,4.2,4408,Udaipur,India,Rajasthan,18513.6,4.38,11
Bagore Ki Haveli,4.5,3463,Udaipur,India,Rajasthan,15583.5,4.51,12
Mahakaleshwar Temple,4.8,2480,Udaipur,India,Rajasthan,11904,4.67,13
Ghantaghar,4.3,2280,Udaipur,India,Rajasthan,9804,4.51,14
Ahar Museum,4.3,1624,Udaipur,India,Rajasthan,6983.2,4.51,15
Sajjangarh Wildlife Sanctuary,4.3,1525,Udaipur,India,Rajasthan,6557.5,4.38,16
Nehru Garden,4.1,1492,Udaipur,India,Rajasthan,6117.2,4.38,17
Pratap Park,4.1,1400,Udaipur,India,Rajasthan,5740,4.38,18
Sunset Point Park Udaipur,4.6,1164,Udaipur,India,Rajasthan,5354.4,4.38,19
Manik Lal Verma Park,4.2,982,Udaipur,India,Rajasthan,4124.4,4.38,20
"Amrakh Ji Mahadev Temple Amberi, Udaipur",4.8,697,Udaipur,India,Rajasthan,3345.6,4.67,21
Pandit Deendayal Upadhyay Park,4.3,710,Udaipur,India,Rajasthan,3053,4.38,22
Udaipur Solar Observatory,4.4,511,Udaipur,India,Rajasthan,2248.4,4.38,23
Shree Mahalaxmi Mandir Udaipur,4.8,300,Udaipur,India,Rajasthan,1440,4.67,24
Guru Gobind Singh Park,4.4,307,Udaipur,India,Rajasthan,1350.8,4.38,25
Sita Mata Mandir,4.2,224,Udaipur,India,Rajasthan,940.8,4.67,26
Nature Park,4.2,109,Udaipur,India,Rajasthan,457.8,4.38,27
Lake Garden,4.4,72,Udaipur,India,Rajasthan,316.8,4.38,28
Mahakaleshwar Jyotirlinga,4.8,125861,Ujjain,India,Madhya Pradesh,604132.8,4.74,1
"Shree Kaal Bhairav Mandir, Ujjain",4.7,58437,Ujjain,India,Madhya Pradesh,274653.9,4.74,2
"Shri Chintaman Ganesh Temple, Ujjain",4.7,11731,Ujjain,India,Madhya Pradesh,55135.7,4.74,3
"ISKCON Temple, Ujjain",4.7,6266,Ujjain,India,Madhya Pradesh,29450.2,4.74,4
Mahakal Lok,4.8,4898,Ujjain,India,Madhya Pradesh,23510.4,4.74,5
Jai Maa Gadhkalika Mata Mandir,4.7,4358,Ujjain,India,Madhya Pradesh,20482.6,4.74,6
"Jantar Mantar, Ujjain",4.3,3681,Ujjain,India,Madhya Pradesh,15828.3,4.34,7
Triveni Museum,4.5,2181,Ujjain,India,Madhya Pradesh,9814.5,4.43,8
Ujjain Temple,4.7,1063,Ujjain,India,Madhya Pradesh,4996.1,4.74,9
Chamunda Mata Mandir,4.6,1005,Ujjain,India,Madhya Pradesh,4623,4.74,10
Muskan yatri grah ( guest house),4.5,835,Ujjain,India,Madhya Pradesh,3757.5,4.74,11
Do taalaab,4.3,872,Ujjain,India,Madhya Pradesh,3749.6,4.34,12
Prashanti Dham,4.5,710,Ujjain,India,Madhya Pradesh,3195,4.74,13
bhaart rtn shrddhey attl bihaarii vaajpeyii anubhuuti udyaan Atal Park,4.6,643,Ujjain,India,Madhya Pradesh,2957.8,4.34,14
Gandhi Bal Udhyan,4.1,526,Ujjain,India,Madhya Pradesh,2156.6,4.34,15
Vikram Kirti Mandir,4.2,502,Ujjain,India,Madhya Pradesh,2108.4,4.43,16
Shree Bada Ganesh Mandir,4.7,439,Ujjain,India,Madhya Pradesh,2063.3,4.74,17
Ujjain Tower,4.5,442,Ujjain,India,Madhya Pradesh,1989,4.43,18
"Shri Chaubis Khamba Mata Temple, Ujjain",4.5,414,Ujjain,India,Madhya Pradesh,1863,4.74,19
Nehru Park,4.1,389,Ujjain,India,Madhya Pradesh,1594.9,4.34,20
Chakor Park Ground,4.2,324,Ujjain,India,Madhya Pradesh,1360.8,4.34,21
Nagchandreshwar Mandir,4.7,239,Ujjain,India,Madhya Pradesh,1123.3,4.74,22
Triveni Ghat,4.3,261,Ujjain,India,Madhya Pradesh,1122.3,4.74,23
"Nagarkot Ki Rani Temple, Ujjain",4.5,187,Ujjain,India,Madhya Pradesh,841.5,4.74,24
Lotus lake,4.4,139,Ujjain,India,Madhya Pradesh,611.6,4.34,25
Yantra Mahal,4.3,100,Ujjain,India,Madhya Pradesh,430,4.34,26
raamghaatt ujjain,4.6,74,Ujjain,India,Madhya Pradesh,340.4,4.74,27
Laxmi Vilas Palace,4.4,17977,Vadodara,India,Gujarat,79098.8,4.35,1
Kirti Stambh,4.4,10354,Vadodara,India,Gujarat,45557.6,4.35,2
Sayaji Garden,4.5,4872,Vadodara,India,Gujarat,21924,4.4,3
Radhakrishna (Akota) Garden,4.2,5079,Vadodara,India,Gujarat,21331.8,4.4,4
EME Temple,4.7,3373,Vadodara,India,Gujarat,15853.1,4.6,5
ISKCON Temple,4.7,3123,Vadodara,India,Gujarat,14678.1,4.6,6
Vidhyadhar Vaav (Stepwell) at Sevasi,4.3,3038,Vadodara,India,Gujarat,13063.4,4.35,7
Nimeta Garden,4.2,2697,Vadodara,India,Gujarat,11327.4,4.4,8
Maharaja Fateh Singh Museum,4.2,2639,Vadodara,India,Gujarat,11083.8,4.35,9
Sur Sagar Lake,4.5,1408,Vadodara,India,Gujarat,6336,4.4,10
Nandalay Temple,4.6,1120,Vadodara,India,Gujarat,5152,4.6,11
Jagnath Mahadev Mandir - Navnath,4.7,696,Vadodara,India,Gujarat,3271.2,4.6,12
Kamati Baug Vadodra,4.5,543,Vadodara,India,Gujarat,2443.5,4.4,13
Siddhivinayak Temple,4.7,467,Vadodara,India,Gujarat,2194.9,4.6,14
Nandan Kanan Park,4.4,427,Vadodara,India,Gujarat,1878.8,4.4,15
"VAYA Hanuman Temple, Deluxe, Nizampura",4.6,304,Vadodara,India,Gujarat,1398.4,4.6,16
Shri Rameshwar Mahadev Temple,4.5,308,Vadodara,India,Gujarat,1386,4.6,17
Nature Education Park,4.1,222,Vadodara,India,Gujarat,910.2,4.4,18
Surya Narayan Temple,4.4,194,Vadodara,India,Gujarat,853.6,4.6,19
Sai Baba Temple,4.7,139,Vadodara,India,Gujarat,653.3,4.6,20
Sayaji Baug Health Museum,4.4,115,Vadodara,India,Gujarat,506,4.35,21
Surpaneshwar Mahadev Temple,4.5,100,Vadodara,India,Gujarat,450,4.6,22
Vaishno Devi,4.7,55225,Vaishno,India,Jammu And Kashmir,259557.5,4.68,1
Bhairo Baba Temple,4.7,1367,Vaishno,India,Jammu And Kashmir,6424.9,4.68,2
Shri Kashi Vishwanath Temple,4.7,90162,Varanasi,India,Uttar Pradesh,423761.4,4.69,1
Dashashwamedh Ghat,4.6,60345,Varanasi,India,Uttar Pradesh,277587,4.69,2
Ramnagar Fort,4.1,31425,Varanasi,India,Uttar Pradesh,128842.5,4.5,3
Archaeological Buddhist Remains of Sarnath,4.5,21281,Varanasi,India,Uttar Pradesh,95764.5,4.5,4
Shri Satyanarayan Tulsi Manas Mandir,4.6,7577,Varanasi,India,Uttar Pradesh,34854.2,4.69,5
Khidkiya Ghat,4.5,7556,Varanasi,India,Uttar Pradesh,34002,4.69,6
"Dhamekh Stupa, Sarnath",4.6,6038,Varanasi,India,Uttar Pradesh,27774.8,4.69,7
Shaheed Udyan Nagar Nigam,4.2,3700,Varanasi,India,Uttar Pradesh,15540,4.29,8
Chaukhandi Stupa,4.4,3296,Varanasi,India,Uttar Pradesh,14502.4,4.5,9
Anand Park,4.1,2845,Varanasi,India,Uttar Pradesh,11664.5,4.29,10
Chet Singh Ghat,4.4,2137,Varanasi,India,Uttar Pradesh,9402.8,4.69,11
Man Singh Observatory,4.5,2054,Varanasi,India,Uttar Pradesh,9243,4.29,12
Tulsi Ghat,4.5,1823,Varanasi,India,Uttar Pradesh,8203.5,4.69,13
Shivala Ghat,4.4,1580,Varanasi,India,Uttar Pradesh,6952,4.69,14
Bharat Kala Bhavan Museum,4.5,1178,Varanasi,India,Uttar Pradesh,5301,4.5,15
Dr. Rajendra Prasad Ghat,4.5,1150,Varanasi,India,Uttar Pradesh,5175,4.5,16
Shree Annapurna Mandir,4.7,983,Varanasi,India,Uttar Pradesh,4620.1,4.69,17
Sant Shiromani Guru Ravidas Mandir,4.3,943,Varanasi,India,Uttar Pradesh,4054.9,4.69,18
Ashoka Pillar,4.6,819,Varanasi,India,Uttar Pradesh,3767.4,4.5,19
Panchganga Ghat,4.5,788,Varanasi,India,Uttar Pradesh,3546,4.69,20
Darbhanga Ghat,4.6,768,Varanasi,India,Uttar Pradesh,3532.8,4.69,21
Nepali Temple,4.6,668,Varanasi,India,Uttar Pradesh,3072.8,4.69,22
Tibetan Temple,4.4,594,Varanasi,India,Uttar Pradesh,2613.6,4.69,23
Meer Ghat,4.4,498,Varanasi,India,Uttar Pradesh,2191.2,4.69,24
Golden Temple,4.6,424,Varanasi,India,Uttar Pradesh,1950.4,4.69,25
Subah-e-Banaras,4.7,379,Varanasi,India,Uttar Pradesh,1781.3,4.69,26
Scindia Ghat,4.4,375,Varanasi,India,Uttar Pradesh,1650,4.69,27
Ahilyabai Ghat,4.4,264,Varanasi,India,Uttar Pradesh,1161.6,4.69,28
The Giant Buddha,4.6,215,Varanasi,India,Uttar Pradesh,989,4.69,29
Ganga Mahal Ghat (2),4.4,174,Varanasi,India,Uttar Pradesh,765.6,4.69,30
Bhonsale Ghat,4.4,146,Varanasi,India,Uttar Pradesh,642.4,4.69,31
Gola Ghat,4.1,153,Varanasi,India,Uttar Pradesh,627.3,4.69,32
Babua Pandey Ghat,4.4,132,Varanasi,India,Uttar Pradesh,580.8,4.69,33
Dandi Ghat,4.5,92,Varanasi,India,Uttar Pradesh,414,4.69,34
Panchkot Ghat,4.4,77,Varanasi,India,Uttar Pradesh,338.8,4.69,35
Manmandir Sri Someshwara Swamy Temple,4.7,60,Varanasi,India,Uttar Pradesh,282,4.69,36
Sankatha Ghat,4.3,63,Varanasi,India,Uttar Pradesh,270.9,4.69,37
Mulagandha Kuti,4.7,52,Varanasi,India,Uttar Pradesh,244.4,4.69,38
Varkala Beachside Cliff,4.6,3131,Varkala,India,Kerala,14402.6,4.43,1
Sri Janardanaswamy Temple,4.7,2714,Varkala,India,Kerala,12755.8,4.72,2
Kappil Beach,4.5,2342,Varkala,India,Kerala,10539,4.43,3
The Black Sand Beach Varkala,4.5,1404,Varkala,India,Kerala,6318,4.43,4
Arivalam Beach Park Varkala,4.2,254,Varkala,India,Kerala,1066.8,4.43,5
Varkala Bali Mandapam,4.5,140,Varkala,India,Kerala,630,4.72,6
Papanasam Beach,4.4,140,Varkala,India,Kerala,616,4.43,7
Aaliyirakkam Beach,4.2,83,Varkala,India,Kerala,348.6,4.43,8
Varkala International Beach,4.5,54,Varkala,India,Kerala,243,4.43,9
Sri Varahalakshmi Narasimha Swamy Vari Devasthanam,4.7,59411,Visakhapatnam,India,Andhra Pradesh,279231.7,4.7,1
VMRDA-Kailasagiri,4.4,59284,Visakhapatnam,India,Andhra Pradesh,260849.6,4.4,2
Tenneti Park,4.5,28260,Visakhapatnam,India,Andhra Pradesh,127170,4.4,3
Dr Y S Rajasekhar Reddy Central park,4.4,23523,Visakhapatnam,India,Andhra Pradesh,103501.2,4.4,4
VMRDA PARK,4.3,20780,Visakhapatnam,India,Andhra Pradesh,89354,4.4,5
Sivaji Park,4.2,10087,Visakhapatnam,India,Andhra Pradesh,42365.4,4.4,6
Thotlakonda,4.3,8060,Visakhapatnam,India,Andhra Pradesh,34658,4.34,7
Ross Hill Church,4.6,6099,Visakhapatnam,India,Andhra Pradesh,28055.4,4.7,8
Visakha Museum,4.4,6058,Visakhapatnam,India,Andhra Pradesh,26655.2,4.34,9
Lumbini Park,4.4,3558,Visakhapatnam,India,Andhra Pradesh,15655.2,4.4,10
Gokul Park,4.3,3158,Visakhapatnam,India,Andhra Pradesh,13579.4,4.4,11
Hawa Mahal,4.3,1260,Visakhapatnam,India,Andhra Pradesh,5418,4.34,12
Appikonda Beach,4.3,867,Visakhapatnam,India,Andhra Pradesh,3728.1,4.4,13
Lawsons Bay Beach Park,4.3,813,Visakhapatnam,India,Andhra Pradesh,3495.9,4.4,14
Beach View Point,4.5,303,Visakhapatnam,India,Andhra Pradesh,1363.5,4.4,15
Kailasgiri Park,4.4,180,Visakhapatnam,India,Andhra Pradesh,792,4.4,16
Tenneti Sea View Point,4.6,91,Visakhapatnam,India,Andhra Pradesh,418.6,4.4,17
Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan),4.8,65844,Vrindavan,India,Uttar Pradesh,316051.2,4.69,1
"Prem Mandir, Vrindavan",4.8,46103,Vrindavan,India,Uttar Pradesh,221294.4,4.69,2
Sri Rangnath Ji Mandir,4.6,8020,Vrindavan,India,Uttar Pradesh,36892,4.69,3
"Shri Pagal Baba Temple, Vrindavan",4.4,5556,Vrindavan,India,Uttar Pradesh,24446.4,4.69,4
Vrindavan Chandrodaya Mandir,4.6,4394,Vrindavan,India,Uttar Pradesh,20212.4,4.69,5
"Shri Radha Damodar Dev Ji Temple, Vrindavan",4.8,4150,Vrindavan,India,Uttar Pradesh,19920,4.69,6
"Shri Radhavallabh Lal Ji Temple, Vrindavan",4.9,3811,Vrindavan,India,Uttar Pradesh,18673.9,4.69,7
Birla Temple,4.4,1555,Vrindavan,India,Uttar Pradesh,6842,4.69,8
"Shri Radha Madan Mohan Ji Temple, Vrindavan",4.7,1404,Vrindavan,India,Bihar,6598.8,4.65,9
"Seva Kunj, Vrindavan",4.7,968,Vrindavan,India,Uttar Pradesh,4549.6,4.69,10
"Keshi Ghat, Vrindavan",4.6,832,Vrindavan,India,Uttar Pradesh,3827.2,4.69,11
"Shri Garud Govind Temple, Vrindavan",4.7,761,Vrindavan,India,Uttar Pradesh,3576.7,4.69,12
"Shahji Temple, Vrindavan",4.5,419,Vrindavan,India,Uttar Pradesh,1885.5,4.69,13
prem mndir vaattikaa,4.7,112,Vrindavan,India,Uttar Pradesh,526.4,4.29,14
Temple of Dauji,4.5,89,Vrindavan,India,Uttar Pradesh,400.5,4.69,15
"Shri Jugal Kishore Ji Temple, Vrindavan",4.7,70,Vrindavan,India,Uttar Pradesh,329,4.69,16
Lakkidi View Point,4.5,18115,Wayanad,India,Kerala,81517.5,4.43,1
Honey Museum Wayanad,4.8,8152,Wayanad,India,Kerala,39129.6,4.42,2
Meenmutty View Point,4.2,1102,Wayanad,India,Kerala,4628.4,4.43,3
PAZHASSI RAJA MEMORIAL,4.3,390,Wayanad,India,Kerala,1677,4.42,4
Attamala View Point,4.5,352,Wayanad,India,Kerala,1584,4.43,5
Wayanad view point,4.7,58,Wayanad,India,Kerala,272.6,4.43,6
Sunrise Valley View Point,4.2,51,Wayanad,India,Kerala,214.2,4.43,7
